A1A	A1B	A1C	A2A	A2B	A2C	A3A	A3B	A3C	A4A	A4B	A4C	A5A	A5B	A5C	A6A	A6B	A6C	A7A	A7B	A7C	J1A	J1B	J1C	J2A	J2B	J2C	J3A	J3B	J3C	J4A	J4B	J4C	J5A	J5B	J5C	J6A	J6B	J6C	J7A	J7B	J7C	O1A	O1B	O1C	O2A	O2B	O2C	O3A	O3B	O3C	O4A	O4B	O4C	O5A	O5B	O5C	O6A	O6B	O6C	O7A	O7B	O7C
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	6	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0	0	0	0	6	4	0	0	0	0	13	0	4	0	0	0	0	0	1	0	0	0	0	2	0	2	3	7	6	18	0	3	0	0	0	3	660	0	9	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
5	78	0	63	14	169	644	412	1205	374	209	70	21	10	0	0	0	0	0	0	0	1	0	1	10	0	0	812	139	381	81	640	2	13	3	0	76	1	59	1	0	0	0	16	0	0	89	0	21	1966	672	7	965	96	3	1928	374	37	923	0	0	0	0
0	0	0	4	0	7	1	0	0	14	10	0	0	0	0	0	112	20	495	26	0	0	0	0	0	0	0	0	0	0	3	19	0	0	55	0	0	0	0	0	0	0	2	0	0	0	0	5	0	2	291	8	25	75	0	43	63	0	0	0	0	54	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	68	941	79	9	161	10	0	66	6	179	11	20	15	51	12	29	38	10	23	28	0	1	803	0	1	0	0	0	1	29	3	16	0	25	0	0	0	0	1	0	0	0	6	59	0	0	0	0	3	0	0	25	0	0	3	91	0	0	0	0	0	0
1924	2219	3453	2	1	0	471	30	187	0	88	0	58	0	203	0	0	0	16	53	1	329	3	8246	170	15	22	127	184	28	0	6	0	43	383	2	1072	10	60	6	0	0	336	1970	2633	17	0	0	2	83	1	2	1	0	0	370	194	0	1	0	0	0	0
0	0	4	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	1	0	1	0	2	0	1	2	0	0	0
3	0	0	4	130	0	4	0	0	0	0	29	38	1	58	0	29	0	0	240	80	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	13	0	0	1	0	0	0	0	0	1079	1	3	256	52	7	306	100	2	10	0	132	0	0
0	0	2	1	2	8	0	0	1	0	0	0	1	0	0	1	0	0	268	25	15	0	0	0	62	0	0	0	30	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	17	0	73	0	1	112	3	0	8	28	0	5	0	0	1	0	74	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	15	42	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	0	0	0	0	0	0	0	2	0	0	0	64	6	0	0	0	1	0	0	2	0	2	1	0	2	1	1	0	1	0	0	0	0	0	6	4	0	0	3	0	2	2	2	0	0	1	2	0	0	18	7	0	13	0	3	1	0	6	4	0	3
0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	6	6	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0
0	0	0	1	0	0	2	0	9	0	3	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1
0	3	0	3	0	2	5	38	19	3	6	0	37	368	156	7	6	3	0	15	55	0	1	1	1	1	5	1	3	3	1	1	0	1	5	2	3	0	0	2	0	5	0	21	2	1	8	0	9	0	1	0	7	0	5	4	3	0	6	8	1	10	0
0	0	0	1	1	0	4	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	20	0	1	66	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	14	0	3	0	1	0	1	0	0	0	0	0	5	2	2	2	1	0	33	2	0	0	1
4	45	14	9	12	4	22	13	74	26	23	6	329	169	69	60	35	72	1177	42	92	19	1	2	18	15	22	24	29	1	8	18	19	6	12	40	14	34	7	18	73	31	2	356	103	19	3	125	90	1961	169	14	78	36	30	28	35	27	148	45	31	65	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
