1A	1B	1C	2A	2B	2C	3A	3B	3C	4A	4B	4C	5A	5B	5C	6A	6B	6C	7A	7B	7C	Family
0	0	2	4	5	4	0	0	0	0	16	0	2	0	0	0	0	0	1	0	0	Cecidomyiidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	Succineidae
0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	Syrphidae
0	0	0	6	0	0	11	0	0	0	2	0	7	0	3	0	0	0	2	0	0	Culicidae
0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0	0	0	0	0	0	Entomobryidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	Bivalvia.X_unclassified
7	6	0	3	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	3	5	Rhodophyta_unclassified
0	0	0	4	0	0	6	0	0	4	5	0	3	3	0	1	0	1	0	0	0	Chiltoniidae
7	0	0	0	0	0	3	0	0	8	0	1	2	0	0	4	0	1	0	0	0	Riodinidae
0	0	0	1	0	0	3	0	0	2	18	0	0	0	0	0	0	0	1	0	0	Mesostigmata_unclassified
0	0	0	0	0	0	0	0	0	11	0	8	0	0	4	0	0	2	0	0	0	Erebidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	22	Nymphalidae
0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sorbeoconcha_unclassified
0	0	0	0	0	0	0	13	1	0	8	0	0	0	0	0	0	1	0	0	1	Anthoathecata_unclassified
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	Podocopida.X
0	0	0	0	0	0	0	0	0	7	0	0	0	1	2	0	0	0	11	0	0	Campanulariidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	Tarsonemidae
0	0	0	0	0	0	0	1	0	2	2	1	2	0	0	2	0	6	3	0	1	Braconidae
2	0	5	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	2	5	Nymphalidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	Tortricidae
0	6	0	2	1	0	0	0	0	0	3	0	2	1	0	0	0	0	3	0	0	Chordata_unclassified
0	0	9	0	3	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Hydridae
0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	6	0	0	0	Entomobryidae
0	5	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Nymphalidae
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	8	0	5	Drosophilidae
2	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	1	0	0	2	Potamididae
0	0	0	0	0	0	0	0	4	0	0	2	2	0	3	3	0	0	2	0	0	Halymeniales_unclassified
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	5	Clubionidae
0	0	0	1	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	Chromadorida_unclassified
